"date","daily_EXO_fdom","daily_EXO_spCond","daily_EXO_do_mgL","daily_EXO_sal_psu","daily_EXO_depth","daily_EXO_pH","daily_EXO_chla_ugL","daily_EXO_Turbidity_NTU","daily_EXO_spCond_ZT","daily_EXO_do_mgL_ZT","daily_EXO_sal_psu_ZT","daily_EXO_pH_ZT","daily_EXO_chla_ugL_ZT","daily_EXO_Turbidity_NTU_ZT"
2021-06-20,28.4889583333333,19429.6169791667,5.4971875,11.5357291666667,0.50278125,7.43291666666667,7.33385416666667,-3.61979166666667,0.335460115709967,0.366178479196475,0.314801528430802,-0.0028429778472548,0.15387170136864,-0.525464397221351
2021-06-21,26.785,19475.6716666667,5.305,11.565,0.506166666666667,7.40833333333333,4.18197916666667,-2.56270833333333,0.341242871679782,0.21958773175666,0.320661105148936,-0.0653193658723661,-0.547212890917602,-0.443387571098754
2021-06-22,25.1559375,19839.6063541667,5.62072916666667,11.7923958333333,0.503322916666667,7.43166666666667,4.18083333333333,3.12375,0.386939533648519,0.460409713052096,0.366182300791951,-0.00601974334005646,-0.547467763365059,-0.00186471555750733
2021-06-23,24.8942708333333,19254.8029166667,6.16760416666667,11.4159375,0.514791666666667,7.46489583333333,6.12052083333333,-3.2021875,0.313509970819081,0.877537856173524,0.290821054317441,0.0784292726769376,-0.116015050265643,-0.493039683393454
2021-06-24,26.0872916666667,20293.0765625,5.5584375,12.0966666666667,0.507770833333333,7.4315625,6.83666666666667,-3.15291666666667,0.443878527195545,0.412896831226075,0.427092705039888,-0.00628447379778974,0.0432802293948736,-0.489214068616554
2021-06-25,26.1616666666667,21371.9916666667,5.15875,12.7960416666667,0.491635416666667,7.4196875,9.288125,-3.05677083333333,0.579350139277231,0.108035748339043,0.567096968689545,-0.0364637459794111,0.588568245617507,-0.481748862614272
2021-06-26,25.8941666666667,21656.2972916667,5.52020833333333,12.981875,0.484666666666667,7.435625,10.3491666666667,-3.07458333333333,0.615048352411794,0.383737587697396,0.604297982444533,0.00404001405381733,0.824580131962528,-0.483131907279917
2021-06-27,25.3238541666667,22521.6845833333,5.61635416666667,13.54625,0.48628125,7.445625,7.74875,-2.96260416666667,0.7237088123723,0.457072687907125,0.717277294397741,0.0294541379962351,0.246158697570508,-0.474437328241506
2021-06-28,26.1089473684211,22889.4061052632,4.46463157894737,13.796,0.498315789473684,7.38463157894737,4.52105263157895,-3.05736842105263,0.769880959912529,-0.42140210872164,0.767273455036171,-0.125555298234134,-0.471791377722088,-0.481795262081356
2021-06-29,27.6298958333333,20758.3433333333,3.80229166666667,12.4329166666667,0.515625,7.34479166666667,4.14447916666667,-2.4228125,0.502298730276784,-0.92660095256138,0.494404853246783,-0.226804945089816,-0.555554171016189,-0.432525413286116
